epoch, d_loss1, d_loss2, g_loss
1,0.1455381811,0.1087862924,0.0000032082
2,0.0601077490,0.0603273213,0.0000126473
3,0.5103536844,0.2827090025,0.0641703978
4,0.2920527458,0.3666490912,0.5221363306
5,0.5091639757,0.5534006357,1.1002426147
6,0.5598701239,0.6305764914,0.5655522346
7,0.6740096211,0.6622090340,0.8241777420
8,0.6770940423,0.7245842218,0.6118801832
9,0.6979786158,0.6776543856,0.7404749990
10,0.6906930208,0.7241726518,0.7059053779
11,0.6694586873,0.7010402679,0.7560407519
12,0.7107203603,0.7209429145,0.6841442585
13,0.7062897682,0.7201684713,0.7089716196
14,0.6848146319,0.7372605205,0.6993998289
15,0.6885026097,0.6968514919,0.7186166048
16,0.6814079285,0.6857712269,0.7306399345
17,0.6830544472,0.6899433136,0.7327713966
18,0.6938725710,0.6929281950,0.7304126024
19,0.6836795807,0.6733509302,0.6487873197
20,0.6417706013,0.7248908281,0.7337850332
21,0.6841218472,0.6729311943,0.7417026162
22,0.6836277843,0.6876636147,0.7789692879
23,0.6839309335,0.6825013161,0.7293313742
24,0.7238264084,0.8242385387,0.6185045242
25,0.6805906892,0.6752057076,0.7383754849
26,0.6853660941,0.6856347322,0.7319313288
27,0.6744135618,0.6808158755,0.7558283806
28,0.6968992352,0.6873445511,0.7264289260
29,0.6924828291,0.6862775087,0.7146371007
30,0.6818031669,0.6988240480,0.7181265354
31,0.6818852425,0.7166329622,0.7081862688
32,0.6861636043,0.6919168234,0.7172521353
33,0.7021157742,0.6874648333,0.7297109365
34,0.7024903893,0.7116086483,0.7282533050
35,0.7038950920,0.6832938194,0.7272531390
36,0.6912832260,0.7073922157,0.7260681391
37,0.6885963678,0.6946234703,0.7152566314
38,0.7109436989,0.6946515441,0.7148981094
39,0.6992871761,0.6874854565,0.7275651693
40,0.6899703145,0.6934629083,0.7075067759
41,0.6900312901,0.7005197406,0.7054870129
42,0.6941925287,0.7071084976,0.7025480270
43,0.6930361986,0.7005491853,0.7067690492
44,0.7021300793,0.6970379949,0.6990082264
45,0.7040386796,0.6949538589,0.7112846375
46,0.7002216578,0.7035799026,0.7032168508
47,0.6959145665,0.7003520131,0.7035238743
48,0.6968340874,0.6991239786,0.7062947750
49,0.6964434385,0.6986814737,0.7055656910
50,0.6938297749,0.6917312741,0.7108468413
51,0.6925179958,0.6968538761,0.7063241601
52,0.6959478855,0.6924288273,0.7021869421
53,0.6841392517,0.6982774734,0.7046453953
54,0.5989641547,0.7025089264,0.6419892907
55,0.6594254971,0.6646411419,0.7621313334
56,0.6625238657,0.6818044186,0.7376386523
57,0.6885149479,0.7455931902,0.7113956809
58,0.7020112872,0.6691314578,0.7294600010
59,0.6732169390,0.6847559214,0.7340129614
60,0.6955939531,0.6903986335,0.7303782701
61,0.6997323036,0.6912037134,0.7205578089
62,0.7038851976,0.6989041567,0.7074601650
63,0.6974117756,0.6905536652,0.7113471627
64,0.7050439119,0.7036120892,0.7152365446
65,0.7000371218,0.6995595098,0.7043286562
66,0.6936199069,0.7037373185,0.7059813142
67,0.7031975985,0.6946208477,0.7065145373
68,0.6942720413,0.7038589716,0.6994074583
69,0.6902456284,0.7026417255,0.7005144358
70,0.7055137157,0.6953909993,0.7083185911
71,0.6963089705,0.6977992058,0.7044849992
72,0.6972557306,0.6996585131,0.7004274130
73,0.7007582784,0.6951363087,0.7019233704
74,0.6997801065,0.6982264519,0.7082699537
75,0.6958185434,0.7033137083,0.7008312941
76,0.6974103451,0.6964429617,0.7011256218
77,0.6360884309,0.7471522689,0.5912802219
78,0.6627840996,0.7030602098,0.7114228010
79,0.6883159280,0.6825777292,0.7218099236
80,0.6841231585,0.7042483091,0.7049152851
81,0.6997926235,0.6921529770,0.7087895274
82,0.6923724413,0.6912835240,0.7064032555
83,0.7053672075,0.6965991855,0.7106570005
84,0.7021788359,0.6944655776,0.7081489563
85,0.6962183714,0.6968966722,0.7034893036
86,0.6998420954,0.6926137209,0.6990866065
87,0.6941337585,0.7000180483,0.7003004551
88,0.6976559758,0.6954407692,0.7019547224
89,0.6997561455,0.6984636784,0.7082869411
90,0.6961753964,0.7016291618,0.7001882792
91,0.6990019083,0.6965960860,0.6991004348
92,0.6959835291,0.6980464458,0.7001901865
93,0.6987164021,0.6994464397,0.6997742057
94,0.6978474855,0.6980620623,0.6997658014
95,0.6990591884,0.6887593865,0.7160961032
96,0.6191931963,0.6849436760,0.7518352270
97,0.6581163406,0.7032976151,0.6878712177
98,0.6906563044,0.6895451546,0.7213345766
99,0.6953302622,0.6940879822,0.7142715454
100,0.6916414499,0.6951412559,0.7094374895
