epoch, d_loss1, d_loss2, g_loss
1,0.0804218873,0.0724097937,0.0000025170
2,0.0238216557,0.0223347563,0.0000000000
3,0.0039420277,0.0045751464,0.0000000084
4,0.6224507093,0.4878263175,1.6182973385
5,0.4613509178,0.3775322139,1.4838552475
6,0.7267607450,0.7491917014,0.5356533527
7,0.6586917043,0.7897763848,0.6534976363
8,0.6739538312,0.7107766867,0.6952267885
9,0.7134748697,0.7045320272,0.7085800171
10,0.7041508555,0.7189514637,0.7205392122
11,0.7155182362,0.6984909773,0.7222596407
12,0.7016215324,0.7356445789,0.6754754782
13,0.6522508860,0.6742424965,0.7457175851
14,0.6986392736,0.6838511229,0.7424542308
15,0.6680235863,0.6469920874,0.7901990414
16,0.6512941122,0.6708025932,0.7794872522
17,0.6651973724,0.6758435965,0.7549351454
18,0.6746313572,0.6655292511,0.7669120431
19,0.6980896592,0.5966912508,0.8626791835
20,0.6438608170,0.7493120432,0.7140011787
21,0.6730501056,0.6613051891,0.7771861553
22,0.6640011072,0.6931256652,0.7479466200
23,0.7082709074,0.7113961577,0.7351387739
24,0.6896071434,0.7088081837,0.7207688093
25,0.6819368601,0.6747567058,0.7677525282
26,0.7115155458,0.6279787421,0.8011012673
27,0.6958107352,0.6736257076,0.7779311538
28,0.6645460129,0.6650537252,0.7765884399
29,0.7261599898,0.6637003422,0.7726050615
30,0.6738790274,0.6995174885,0.7332427502
31,0.6668568254,0.6817936301,0.7571492791
32,0.6728991270,0.6512979865,0.8207304478
33,0.6742541790,0.6794415116,0.7536121607
34,0.7054786086,0.6472051144,0.7817783356
35,0.7019225359,0.6375575662,0.7564882636
36,0.6832108498,0.6840749979,0.7466092110
37,0.6665985584,0.7155836821,0.7584100962
38,0.6752067804,0.6887194514,0.7568567991
39,0.7053015232,0.6933130622,0.7267954946
40,0.7018109560,0.6974277496,0.7297052145
41,0.7007641792,0.6926822662,0.7375206947
42,0.7050356865,0.6937866807,0.7296727896
43,0.6852630377,0.6936265826,0.7219315767
44,0.6680667400,0.6938819885,0.7580015063
45,0.6881865263,0.6904915571,0.7220920920
46,0.6965883970,0.6762750149,0.7552605867
47,0.6916292906,0.6894479990,0.7289086580
48,0.6960092783,0.6905606985,0.7281065583
49,0.6972194910,0.6975139380,0.7218304873
50,0.6998711824,0.6955668926,0.7325953245
51,0.6919246912,0.6946249008,0.7242154479
52,0.6057299376,0.6953936219,0.8123134375
53,0.6501171589,0.6154073477,0.8390721083
54,0.6847158670,0.6610557437,0.7520638108
55,0.6896977425,0.7003432512,0.7401666641
56,0.6982237697,0.6961527467,0.7295765877
57,0.6889412403,0.6936239004,0.7266618013
58,0.6961393356,0.6995617151,0.7307179570
59,0.6945379972,0.6907515526,0.7257081270
60,0.6880692244,0.6951548457,0.7196546793
61,0.6988060474,0.6899816990,0.7199885845
62,0.6925179362,0.6977999806,0.7181443572
63,0.6884115934,0.6809450388,0.7360951304
64,0.6922034621,0.6957467794,0.7184727192
65,0.6332671046,0.5433468819,0.5947283506
66,0.6216665506,0.6441344619,0.6621057987
67,0.6906602979,0.6706203222,0.8099601269
68,0.6779172421,0.7159975171,0.7636486292
69,0.6624885798,0.7304065824,0.7213300467
70,0.6774442196,0.6684124470,0.7420948148
71,0.6881603599,0.6944819689,0.7353743315
72,0.7043665051,0.6994183064,0.7249993086
73,0.6946012974,0.6878570914,0.7321619987
74,0.6756656170,0.6882987022,0.7179211378
75,0.7060075998,0.6838569045,0.7212259769
76,0.6954207420,0.6912881136,0.7199687958
77,0.6948210001,0.6854244471,0.7201130390
78,0.6890062690,0.6931520104,0.7115850449
79,0.6942684650,0.6951634288,0.7196513414
80,0.7030230761,0.6881585121,0.7137093544
81,0.7155678868,0.6952787042,0.7170339823
82,0.6901721358,0.6953357458,0.7171080112
83,0.6906967759,0.6946454048,0.7106639147
84,0.3996460438,0.4927311540,0.9105407000
85,0.6333411336,0.5922330618,0.8198109865
86,0.6384434700,0.6965920925,0.7162772417
87,0.6546330452,0.7309157848,0.7785618305
88,0.6473987103,0.6659590602,0.7688285112
89,0.6776034236,0.6514000893,0.7706944942
90,0.6604869962,0.6849292517,0.7234858274
91,0.6674662232,0.6604614258,0.7906636000
92,0.7049822807,0.6362289786,0.7384266853
93,0.6922236085,0.6948148012,0.7264010906
94,0.6518586874,0.6267642379,0.7832159996
95,0.6657463312,0.6684157252,0.7354865670
96,0.7012833357,0.6886457801,0.6959314942
97,0.6896186471,0.6971025467,0.7390505075
98,0.6380612850,0.7214056253,0.7505563498
99,0.6834704876,0.6739317775,0.7524702549
100,0.6724764705,0.6274620891,0.8632338047
